"seller","day_of_week","income"
Abraham Bennet,monday,231845241
Albert Ringer,monday,392378037
Ann Dull,monday,39656842
Anne Ringer,monday,53386960
Burt Gringlesby,monday,118429815
Charlene Locksley,monday,108450662
Cheryl Carson,monday,77977656
Dean Straight,monday,192550177
Dirk Stringer,monday,759341454
Heather McBadden,monday,293014643
Innes del Castillo,monday,260992756
Johnson White,monday,98560781
Livia Karsen,monday,132386617
Marjorie Green,monday,97539863
Meander Smith,monday,52160231
Michael O'Leary,monday,138096271
Michel DeFrance,monday,479584913
Morningstar Greene,monday,67381284
Reginald Blotchet-Halls,monday,103178565
Sheryl Hunter,monday,153301523
Stearns MacFeather,monday,30778269
Sylvia Panteley,monday,96399421
Abraham Bennet,tuesday,259058025
Albert Ringer,tuesday,419021697
Ann Dull,tuesday,38097803
Anne Ringer,tuesday,55417855
Burt Gringlesby,tuesday,114454011
Charlene Locksley,tuesday,102419637
Cheryl Carson,tuesday,76905541
Dean Straight,tuesday,183459085
Dirk Stringer,tuesday,734550031
Heather McBadden,tuesday,267891416
Innes del Castillo,tuesday,285473361
Johnson White,tuesday,100275585
Livia Karsen,tuesday,145696069
Marjorie Green,tuesday,102488963
Meander Smith,tuesday,63913948
Michael O'Leary,tuesday,125258262
Michel DeFrance,tuesday,467420379
Morningstar Greene,tuesday,67737433
Reginald Blotchet-Halls,tuesday,89298148
Sheryl Hunter,tuesday,163754743
Stearns MacFeather,tuesday,31056500
Sylvia Panteley,tuesday,99289895
Abraham Bennet,wednesday,214842808
Albert Ringer,wednesday,403718417
Ann Dull,wednesday,35588999
Anne Ringer,wednesday,46106235
Burt Gringlesby,wednesday,119047493
Charlene Locksley,wednesday,106731405
Cheryl Carson,wednesday,66729899
Dean Straight,wednesday,168092846
Dirk Stringer,wednesday,642376636
Heather McBadden,wednesday,249479670
Innes del Castillo,wednesday,245730060
Johnson White,wednesday,89036561
Livia Karsen,wednesday,156662685
Marjorie Green,wednesday,94949346
Meander Smith,wednesday,49655891
Michael O'Leary,wednesday,134525034
Michel DeFrance,wednesday,439203895
Morningstar Greene,wednesday,64838798
Reginald Blotchet-Halls,wednesday,80548666
Sheryl Hunter,wednesday,140290959
Stearns MacFeather,wednesday,24953848
Sylvia Panteley,wednesday,85876343
Abraham Bennet,thursday,226133914
Albert Ringer,thursday,405676709
Ann Dull,thursday,36627434
Anne Ringer,thursday,55678725
Burt Gringlesby,thursday,103250737
Charlene Locksley,thursday,102081550
Cheryl Carson,thursday,70730729
Dean Straight,thursday,182913499
Dirk Stringer,thursday,693463715
Heather McBadden,thursday,289587873
Innes del Castillo,thursday,247744625
Johnson White,thursday,91715657
Livia Karsen,thursday,168820559
Marjorie Green,thursday,90204710
Meander Smith,thursday,56688835
Michael O'Leary,thursday,130193797
Michel DeFrance,thursday,481154810
Morningstar Greene,thursday,61407055
Reginald Blotchet-Halls,thursday,89971572
Sheryl Hunter,thursday,148434246
Stearns MacFeather,thursday,22585489
Sylvia Panteley,thursday,91590677
Abraham Bennet,friday,233935355
Albert Ringer,friday,357492141
Ann Dull,friday,37433114
Anne Ringer,friday,51753347
Burt Gringlesby,friday,109360157
Charlene Locksley,friday,97761368
Cheryl Carson,friday,80473497
Dean Straight,friday,176048819
Dirk Stringer,friday,672023516
Heather McBadden,friday,245868792
Innes del Castillo,friday,231816491
Johnson White,friday,91757922
Livia Karsen,friday,172939423
Marjorie Green,friday,99954931
Meander Smith,friday,53551950
Michael O'Leary,friday,142326757
Michel DeFrance,friday,473980672
Morningstar Greene,friday,62929136
Reginald Blotchet-Halls,friday,96796975
Sheryl Hunter,friday,158669551
Stearns MacFeather,friday,28022429
Sylvia Panteley,friday,91390794
Abraham Bennet,saturday,219357044
Albert Ringer,saturday,359055416
Ann Dull,saturday,37658774
Anne Ringer,saturday,48579231
Burt Gringlesby,saturday,108212063
Charlene Locksley,saturday,100507635
Cheryl Carson,saturday,69224912
Dean Straight,saturday,176094739
Dirk Stringer,saturday,724561948
Heather McBadden,saturday,260891529
Innes del Castillo,saturday,245765306
Johnson White,saturday,91955955
Livia Karsen,saturday,142421328
Marjorie Green,saturday,95303135
Meander Smith,saturday,53094394
Michael O'Leary,saturday,131118663
Michel DeFrance,saturday,480574634
Morningstar Greene,saturday,64598707
Reginald Blotchet-Halls,saturday,92451659
Sheryl Hunter,saturday,143802260
Stearns MacFeather,saturday,27623840
Sylvia Panteley,saturday,87097884
Abraham Bennet,sunday,232328741
Albert Ringer,sunday,362985479
Ann Dull,sunday,34138281
Anne Ringer,sunday,49050822
Burt Gringlesby,sunday,112782274
Charlene Locksley,sunday,93745111
Cheryl Carson,sunday,69553589
Dean Straight,sunday,176872999
Dirk Stringer,sunday,698820595
Heather McBadden,sunday,266458383
Innes del Castillo,sunday,244679486
Johnson White,sunday,88933979
Livia Karsen,sunday,137975379
Marjorie Green,sunday,104815526
Meander Smith,sunday,56678274
Michael O'Leary,sunday,125981629
Michel DeFrance,sunday,438321482
Morningstar Greene,sunday,68473048
Reginald Blotchet-Halls,sunday,80496468
Sheryl Hunter,sunday,148514533
Stearns MacFeather,sunday,27431428
Sylvia Panteley,sunday,95337206
Akiko Yokomoto,,0
